"peak_number","unique_id","name","formula","annot_source_predicted_compositions","annot_source_mz_cloud_search","annot_source_mass_list_search","annot_delta_mass_ppm","calc_mw","m_z","rt_min","area_max","number_mz_cloud_results","mz_cloud_best_match","mz_cloud_best_match_confidence","mass_list_match_kaniz_list_1","mass_list_match_kps_npl","mass_list_match_kps_pharmaceuticals_oct22","ms2","reference_ion","sample","group_area","peak_rating"
15,"6-(4-methoxyphenyl)pyrimidine-2,4-diamine_6.572","6-(4-methoxyphenyl)pyrimidine-2,4-diamine","C11 H12 N4 O","Full match","Full match","No results",-0.77,216.10094,217.10822,6.572,7468141634.36006,3,88,9.4,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_31_b",12330781.1810756,5.1
15,"6-(4-methoxyphenyl)pyrimidine-2,4-diamine_6.572","6-(4-methoxyphenyl)pyrimidine-2,4-diamine","C11 H12 N4 O","Full match","Full match","No results",-0.77,216.10094,217.10822,6.572,7468141634.36006,3,88,9.4,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_31_c",11356064.4848631,5.7
15,"6-(4-methoxyphenyl)pyrimidine-2,4-diamine_6.572","6-(4-methoxyphenyl)pyrimidine-2,4-diamine","C11 H12 N4 O","Full match","Full match","No results",-0.77,216.10094,217.10822,6.572,7468141634.36006,3,88,9.4,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_38_a",132608792.178271,8.4
15,"6-(4-methoxyphenyl)pyrimidine-2,4-diamine_6.572","6-(4-methoxyphenyl)pyrimidine-2,4-diamine","C11 H12 N4 O","Full match","Full match","No results",-0.77,216.10094,217.10822,6.572,7468141634.36006,3,88,9.4,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_39_a",2077417552.49125,7.3
15,"6-(4-methoxyphenyl)pyrimidine-2,4-diamine_6.572","6-(4-methoxyphenyl)pyrimidine-2,4-diamine","C11 H12 N4 O","Full match","Full match","No results",-0.77,216.10094,217.10822,6.572,7468141634.36006,3,88,9.4,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_39_b",1275635052.70103,7.8
15,"6-(4-methoxyphenyl)pyrimidine-2,4-diamine_6.572","6-(4-methoxyphenyl)pyrimidine-2,4-diamine","C11 H12 N4 O","Full match","Full match","No results",-0.77,216.10094,217.10822,6.572,7468141634.36006,3,88,9.4,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_43_a",5650670669.39291,6.7
15,"6-(4-methoxyphenyl)pyrimidine-2,4-diamine_6.572","6-(4-methoxyphenyl)pyrimidine-2,4-diamine","C11 H12 N4 O","Full match","Full match","No results",-0.77,216.10094,217.10822,6.572,7468141634.36006,3,88,9.4,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_43_b",7468141634.36006,6.7
15,"6-(4-methoxyphenyl)pyrimidine-2,4-diamine_6.572","6-(4-methoxyphenyl)pyrimidine-2,4-diamine","C11 H12 N4 O","Full match","Full match","No results",-0.77,216.10094,217.10822,6.572,7468141634.36006,3,88,9.4,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_55_a",7031061935.04018,8.4
15,"6-(4-methoxyphenyl)pyrimidine-2,4-diamine_6.572","6-(4-methoxyphenyl)pyrimidine-2,4-diamine","C11 H12 N4 O","Full match","Full match","No results",-0.77,216.10094,217.10822,6.572,7468141634.36006,3,88,9.4,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_55_b",6904421399.29451,8.4
82,"N,N'-Dicyclohexylurea_15.607","N,N'-Dicyclohexylurea","C13 H24 N2 O","Full match","Full match","No results",-0.31,224.18879,225.19607,15.607,2247202587.97015,1,98.3,92.8,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_25_b",45750581.0250337,9.5
82,"N,N'-Dicyclohexylurea_15.607","N,N'-Dicyclohexylurea","C13 H24 N2 O","Full match","Full match","No results",-0.31,224.18879,225.19607,15.607,2247202587.97015,1,98.3,92.8,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_25_c",4334396.1161641,7.5
82,"N,N'-Dicyclohexylurea_15.607","N,N'-Dicyclohexylurea","C13 H24 N2 O","Full match","Full match","No results",-0.31,224.18879,225.19607,15.607,2247202587.97015,1,98.3,92.8,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_28_a",792368953.987704,8.4
82,"N,N'-Dicyclohexylurea_15.607","N,N'-Dicyclohexylurea","C13 H24 N2 O","Full match","Full match","No results",-0.31,224.18879,225.19607,15.607,2247202587.97015,1,98.3,92.8,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_28_b",527436660.573504,9.5
82,"N,N'-Dicyclohexylurea_15.607","N,N'-Dicyclohexylurea","C13 H24 N2 O","Full match","Full match","No results",-0.31,224.18879,225.19607,15.607,2247202587.97015,1,98.3,92.8,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_28_c",759476930.073156,9.5
82,"N,N'-Dicyclohexylurea_15.607","N,N'-Dicyclohexylurea","C13 H24 N2 O","Full match","Full match","No results",-0.31,224.18879,225.19607,15.607,2247202587.97015,1,98.3,92.8,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_31_a",1868386577.70562,9.5
82,"N,N'-Dicyclohexylurea_15.607","N,N'-Dicyclohexylurea","C13 H24 N2 O","Full match","Full match","No results",-0.31,224.18879,225.19607,15.607,2247202587.97015,1,98.3,92.8,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_31_b",2069665934.16044,10
82,"N,N'-Dicyclohexylurea_15.607","N,N'-Dicyclohexylurea","C13 H24 N2 O","Full match","Full match","No results",-0.31,224.18879,225.19607,15.607,2247202587.97015,1,98.3,92.8,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_31_c",1925942429.10571,10
82,"N,N'-Dicyclohexylurea_15.607","N,N'-Dicyclohexylurea","C13 H24 N2 O","Full match","Full match","No results",-0.31,224.18879,225.19607,15.607,2247202587.97015,1,98.3,92.8,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_34_a",82865501.6995528,8.4
82,"N,N'-Dicyclohexylurea_15.607","N,N'-Dicyclohexylurea","C13 H24 N2 O","Full match","Full match","No results",-0.31,224.18879,225.19607,15.607,2247202587.97015,1,98.3,92.8,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_34_b",67661723.3512828,8.4
82,"N,N'-Dicyclohexylurea_15.607","N,N'-Dicyclohexylurea","C13 H24 N2 O","Full match","Full match","No results",-0.31,224.18879,225.19607,15.607,2247202587.97015,1,98.3,92.8,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_34_c",69414733.700495,9.5
82,"N,N'-Dicyclohexylurea_15.607","N,N'-Dicyclohexylurea","C13 H24 N2 O","Full match","Full match","No results",-0.31,224.18879,225.19607,15.607,2247202587.97015,1,98.3,92.8,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_38_a",27067742.189616,8.4
82,"N,N'-Dicyclohexylurea_15.607","N,N'-Dicyclohexylurea","C13 H24 N2 O","Full match","Full match","No results",-0.31,224.18879,225.19607,15.607,2247202587.97015,1,98.3,92.8,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_39_a",144861304.968654,9.5
82,"N,N'-Dicyclohexylurea_15.607","N,N'-Dicyclohexylurea","C13 H24 N2 O","Full match","Full match","No results",-0.31,224.18879,225.19607,15.607,2247202587.97015,1,98.3,92.8,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_39_b",121720079.722439,8.4
82,"N,N'-Dicyclohexylurea_15.607","N,N'-Dicyclohexylurea","C13 H24 N2 O","Full match","Full match","No results",-0.31,224.18879,225.19607,15.607,2247202587.97015,1,98.3,92.8,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_43_a",2054549963.14132,8.4
82,"N,N'-Dicyclohexylurea_15.607","N,N'-Dicyclohexylurea","C13 H24 N2 O","Full match","Full match","No results",-0.31,224.18879,225.19607,15.607,2247202587.97015,1,98.3,92.8,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_43_b",2143371430.05279,9.5
82,"N,N'-Dicyclohexylurea_15.607","N,N'-Dicyclohexylurea","C13 H24 N2 O","Full match","Full match","No results",-0.31,224.18879,225.19607,15.607,2247202587.97015,1,98.3,92.8,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_55_a",2247202587.97015,8.4
82,"N,N'-Dicyclohexylurea_15.607","N,N'-Dicyclohexylurea","C13 H24 N2 O","Full match","Full match","No results",-0.31,224.18879,225.19607,15.607,2247202587.97015,1,98.3,92.8,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_55_b",2196386141.42989,8.4
156,"6-(4-methoxyphenyl)pyrimidine-2,4-diamine_8.606","6-(4-methoxyphenyl)pyrimidine-2,4-diamine","C11 H12 N4 O","Full match","Full match","No results",-0.65,216.10097,217.10825,8.606,1059032392.57921,2,72,8.6,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_28_c",913868.532760304,5.8
156,"6-(4-methoxyphenyl)pyrimidine-2,4-diamine_8.606","6-(4-methoxyphenyl)pyrimidine-2,4-diamine","C11 H12 N4 O","Full match","Full match","No results",-0.65,216.10097,217.10825,8.606,1059032392.57921,2,72,8.6,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_38_a",357099.233719992,6.5
156,"6-(4-methoxyphenyl)pyrimidine-2,4-diamine_8.606","6-(4-methoxyphenyl)pyrimidine-2,4-diamine","C11 H12 N4 O","Full match","Full match","No results",-0.65,216.10097,217.10825,8.606,1059032392.57921,2,72,8.6,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_39_a",52620736.595283,6.7
156,"6-(4-methoxyphenyl)pyrimidine-2,4-diamine_8.606","6-(4-methoxyphenyl)pyrimidine-2,4-diamine","C11 H12 N4 O","Full match","Full match","No results",-0.65,216.10097,217.10825,8.606,1059032392.57921,2,72,8.6,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_39_b",36756568.816915,6.7
156,"6-(4-methoxyphenyl)pyrimidine-2,4-diamine_8.606","6-(4-methoxyphenyl)pyrimidine-2,4-diamine","C11 H12 N4 O","Full match","Full match","No results",-0.65,216.10097,217.10825,8.606,1059032392.57921,2,72,8.6,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_43_a",752111514.441568,7.8
156,"6-(4-methoxyphenyl)pyrimidine-2,4-diamine_8.606","6-(4-methoxyphenyl)pyrimidine-2,4-diamine","C11 H12 N4 O","Full match","Full match","No results",-0.65,216.10097,217.10825,8.606,1059032392.57921,2,72,8.6,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_43_b",796510041.523163,8.4
156,"6-(4-methoxyphenyl)pyrimidine-2,4-diamine_8.606","6-(4-methoxyphenyl)pyrimidine-2,4-diamine","C11 H12 N4 O","Full match","Full match","No results",-0.65,216.10097,217.10825,8.606,1059032392.57921,2,72,8.6,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_55_a",1059032392.57921,8.4
156,"6-(4-methoxyphenyl)pyrimidine-2,4-diamine_8.606","6-(4-methoxyphenyl)pyrimidine-2,4-diamine","C11 H12 N4 O","Full match","Full match","No results",-0.65,216.10097,217.10825,8.606,1059032392.57921,2,72,8.6,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_55_b",861431448.616451,7.8
165,"Obacunone_18.835","Obacunone","C26 H30 O7","No match","Full match","No results",2.63,454.20035,455.20763,18.835,997381908.81624,5,75.8,47.6,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_31_c",387830.039691611,7.4
165,"Obacunone_18.835","Obacunone","C26 H30 O7","No match","Full match","No results",2.63,454.20035,455.20763,18.835,997381908.81624,5,75.8,47.6,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_39_a",14290130.5562131,6.2
165,"Obacunone_18.835","Obacunone","C26 H30 O7","No match","Full match","No results",2.63,454.20035,455.20763,18.835,997381908.81624,5,75.8,47.6,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_43_a",997381908.81624,6.7
165,"Obacunone_18.835","Obacunone","C26 H30 O7","No match","Full match","No results",2.63,454.20035,455.20763,18.835,997381908.81624,5,75.8,47.6,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_43_b",764792089.264758,6.7
165,"Obacunone_18.835","Obacunone","C26 H30 O7","No match","Full match","No results",2.63,454.20035,455.20763,18.835,997381908.81624,5,75.8,47.6,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_55_a",877271631.880682,6.7
165,"Obacunone_18.835","Obacunone","C26 H30 O7","No match","Full match","No results",2.63,454.20035,455.20763,18.835,997381908.81624,5,75.8,47.6,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_55_b",854531858.031475,6.2
312,"3-Methyl-1-morpholinopyrido[1,2-a]benzimidazole-4-carbonitrile_12.883","3-Methyl-1-morpholinopyrido[1,2-a]benzimidazole-4-carbonitrile","C17 H16 N4 O","Full match","Full match","No results",-0.49,292.13227,293.13958,12.883,529215371.710037,6,86.3,9.3,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_31_a",1841903.70471776,5.5
312,"3-Methyl-1-morpholinopyrido[1,2-a]benzimidazole-4-carbonitrile_12.883","3-Methyl-1-morpholinopyrido[1,2-a]benzimidazole-4-carbonitrile","C17 H16 N4 O","Full match","Full match","No results",-0.49,292.13227,293.13958,12.883,529215371.710037,6,86.3,9.3,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_31_b",978482.517197328,7.2
312,"3-Methyl-1-morpholinopyrido[1,2-a]benzimidazole-4-carbonitrile_12.883","3-Methyl-1-morpholinopyrido[1,2-a]benzimidazole-4-carbonitrile","C17 H16 N4 O","Full match","Full match","No results",-0.49,292.13227,293.13958,12.883,529215371.710037,6,86.3,9.3,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_34_a",1597597.72186186,5.5
312,"3-Methyl-1-morpholinopyrido[1,2-a]benzimidazole-4-carbonitrile_12.883","3-Methyl-1-morpholinopyrido[1,2-a]benzimidazole-4-carbonitrile","C17 H16 N4 O","Full match","Full match","No results",-0.49,292.13227,293.13958,12.883,529215371.710037,6,86.3,9.3,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_34_b",1532274.02752098,6.1
312,"3-Methyl-1-morpholinopyrido[1,2-a]benzimidazole-4-carbonitrile_12.883","3-Methyl-1-morpholinopyrido[1,2-a]benzimidazole-4-carbonitrile","C17 H16 N4 O","Full match","Full match","No results",-0.49,292.13227,293.13958,12.883,529215371.710037,6,86.3,9.3,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_34_c",2269067.87768407,7.2
312,"3-Methyl-1-morpholinopyrido[1,2-a]benzimidazole-4-carbonitrile_12.883","3-Methyl-1-morpholinopyrido[1,2-a]benzimidazole-4-carbonitrile","C17 H16 N4 O","Full match","Full match","No results",-0.49,292.13227,293.13958,12.883,529215371.710037,6,86.3,9.3,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_39_a",4572026.57059567,9.1
312,"3-Methyl-1-morpholinopyrido[1,2-a]benzimidazole-4-carbonitrile_12.883","3-Methyl-1-morpholinopyrido[1,2-a]benzimidazole-4-carbonitrile","C17 H16 N4 O","Full match","Full match","No results",-0.49,292.13227,293.13958,12.883,529215371.710037,6,86.3,9.3,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_39_b",4865795.4267987,5.9
312,"3-Methyl-1-morpholinopyrido[1,2-a]benzimidazole-4-carbonitrile_12.883","3-Methyl-1-morpholinopyrido[1,2-a]benzimidazole-4-carbonitrile","C17 H16 N4 O","Full match","Full match","No results",-0.49,292.13227,293.13958,12.883,529215371.710037,6,86.3,9.3,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_43_a",397764226.573698,5.1
312,"3-Methyl-1-morpholinopyrido[1,2-a]benzimidazole-4-carbonitrile_12.883","3-Methyl-1-morpholinopyrido[1,2-a]benzimidazole-4-carbonitrile","C17 H16 N4 O","Full match","Full match","No results",-0.49,292.13227,293.13958,12.883,529215371.710037,6,86.3,9.3,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_43_b",318617122.012015,5.7
312,"3-Methyl-1-morpholinopyrido[1,2-a]benzimidazole-4-carbonitrile_12.883","3-Methyl-1-morpholinopyrido[1,2-a]benzimidazole-4-carbonitrile","C17 H16 N4 O","Full match","Full match","No results",-0.49,292.13227,293.13958,12.883,529215371.710037,6,86.3,9.3,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_55_a",529215371.710037,8.4
312,"3-Methyl-1-morpholinopyrido[1,2-a]benzimidazole-4-carbonitrile_12.883","3-Methyl-1-morpholinopyrido[1,2-a]benzimidazole-4-carbonitrile","C17 H16 N4 O","Full match","Full match","No results",-0.49,292.13227,293.13958,12.883,529215371.710037,6,86.3,9.3,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_55_b",492427637.551179,8.4
352,"NP-020246_13.63","NP-020246","C19 H24 O8","No match","Full match","No results",3.28,380.14836,381.15565,13.63,472461508.772775,1,68.4,43.9,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_39_a",41479820.1539669,7.8
352,"NP-020246_13.63","NP-020246","C19 H24 O8","No match","Full match","No results",3.28,380.14836,381.15565,13.63,472461508.772775,1,68.4,43.9,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_39_b",23163271.0864792,8.4
352,"NP-020246_13.63","NP-020246","C19 H24 O8","No match","Full match","No results",3.28,380.14836,381.15565,13.63,472461508.772775,1,68.4,43.9,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_43_b",465174847.230394,7.8
352,"NP-020246_13.63","NP-020246","C19 H24 O8","No match","Full match","No results",3.28,380.14836,381.15565,13.63,472461508.772775,1,68.4,43.9,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_55_b",400999112.759809,7.8
382,"6-(4-methoxyphenyl)pyrimidine-2,4-diamine_10.215","6-(4-methoxyphenyl)pyrimidine-2,4-diamine","C11 H12 N4 O","Full match","Full match","No results",-0.22,216.10106,217.10834,10.215,430583268.717774,3,86.2,9.3,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_25_c",403162.030289668,6.8
382,"6-(4-methoxyphenyl)pyrimidine-2,4-diamine_10.215","6-(4-methoxyphenyl)pyrimidine-2,4-diamine","C11 H12 N4 O","Full match","Full match","No results",-0.22,216.10106,217.10834,10.215,430583268.717774,3,86.2,9.3,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_39_a",14412998.5397948,8.9
382,"6-(4-methoxyphenyl)pyrimidine-2,4-diamine_10.215","6-(4-methoxyphenyl)pyrimidine-2,4-diamine","C11 H12 N4 O","Full match","Full match","No results",-0.22,216.10106,217.10834,10.215,430583268.717774,3,86.2,9.3,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_39_b",14406695.6064071,6.7
382,"6-(4-methoxyphenyl)pyrimidine-2,4-diamine_10.215","6-(4-methoxyphenyl)pyrimidine-2,4-diamine","C11 H12 N4 O","Full match","Full match","No results",-0.22,216.10106,217.10834,10.215,430583268.717774,3,86.2,9.3,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_43_a",392986692.520637,8.4
382,"6-(4-methoxyphenyl)pyrimidine-2,4-diamine_10.215","6-(4-methoxyphenyl)pyrimidine-2,4-diamine","C11 H12 N4 O","Full match","Full match","No results",-0.22,216.10106,217.10834,10.215,430583268.717774,3,86.2,9.3,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_43_b",393486642.722772,8.4
382,"6-(4-methoxyphenyl)pyrimidine-2,4-diamine_10.215","6-(4-methoxyphenyl)pyrimidine-2,4-diamine","C11 H12 N4 O","Full match","Full match","No results",-0.22,216.10106,217.10834,10.215,430583268.717774,3,86.2,9.3,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_55_a",430583268.717774,8.4
382,"6-(4-methoxyphenyl)pyrimidine-2,4-diamine_10.215","6-(4-methoxyphenyl)pyrimidine-2,4-diamine","C11 H12 N4 O","Full match","Full match","No results",-0.22,216.10106,217.10834,10.215,430583268.717774,3,86.2,9.3,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_55_b",309702132.414258,8.4
394,"2-[(3S)-1-(2-Chlorobenzyl)-3-pyrrolidinyl]-5-[(4-fluorophenoxy)methyl]-1,3,4-oxadiazole_19.12","2-[(3S)-1-(2-Chlorobenzyl)-3-pyrrolidinyl]-5-[(4-fluorophenoxy)methyl]-1,3,4-oxadiazole","C20 H19 Cl F N3 O2","Not the top hit","Full match","No results",-0.59,387.11475,388.12203,19.12,420068974.110219,1,61,8,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_39_a",3410341.53709028,9.1
394,"2-[(3S)-1-(2-Chlorobenzyl)-3-pyrrolidinyl]-5-[(4-fluorophenoxy)methyl]-1,3,4-oxadiazole_19.12","2-[(3S)-1-(2-Chlorobenzyl)-3-pyrrolidinyl]-5-[(4-fluorophenoxy)methyl]-1,3,4-oxadiazole","C20 H19 Cl F N3 O2","Not the top hit","Full match","No results",-0.59,387.11475,388.12203,19.12,420068974.110219,1,61,8,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_43_a",323032623.336221,9.5
394,"2-[(3S)-1-(2-Chlorobenzyl)-3-pyrrolidinyl]-5-[(4-fluorophenoxy)methyl]-1,3,4-oxadiazole_19.12","2-[(3S)-1-(2-Chlorobenzyl)-3-pyrrolidinyl]-5-[(4-fluorophenoxy)methyl]-1,3,4-oxadiazole","C20 H19 Cl F N3 O2","Not the top hit","Full match","No results",-0.59,387.11475,388.12203,19.12,420068974.110219,1,61,8,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_43_b",98424526.6164288,8.4
394,"2-[(3S)-1-(2-Chlorobenzyl)-3-pyrrolidinyl]-5-[(4-fluorophenoxy)methyl]-1,3,4-oxadiazole_19.12","2-[(3S)-1-(2-Chlorobenzyl)-3-pyrrolidinyl]-5-[(4-fluorophenoxy)methyl]-1,3,4-oxadiazole","C20 H19 Cl F N3 O2","Not the top hit","Full match","No results",-0.59,387.11475,388.12203,19.12,420068974.110219,1,61,8,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_55_a",420068974.110219,8.4
394,"2-[(3S)-1-(2-Chlorobenzyl)-3-pyrrolidinyl]-5-[(4-fluorophenoxy)methyl]-1,3,4-oxadiazole_19.12","2-[(3S)-1-(2-Chlorobenzyl)-3-pyrrolidinyl]-5-[(4-fluorophenoxy)methyl]-1,3,4-oxadiazole","C20 H19 Cl F N3 O2","Not the top hit","Full match","No results",-0.59,387.11475,388.12203,19.12,420068974.110219,1,61,8,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_55_b",326768114.89289,8.4
398,"6-(4-methoxyphenyl)pyrimidine-2,4-diamine_10.936","6-(4-methoxyphenyl)pyrimidine-2,4-diamine","C11 H12 N4 O","Full match","Full match","No results",-0.19,216.10107,217.10835,10.936,413443304.113636,3,87.4,9.4,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_39_a",28762372.5483585,7.3
398,"6-(4-methoxyphenyl)pyrimidine-2,4-diamine_10.936","6-(4-methoxyphenyl)pyrimidine-2,4-diamine","C11 H12 N4 O","Full match","Full match","No results",-0.19,216.10107,217.10835,10.936,413443304.113636,3,87.4,9.4,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_39_b",17143010.6381138,6.2
398,"6-(4-methoxyphenyl)pyrimidine-2,4-diamine_10.936","6-(4-methoxyphenyl)pyrimidine-2,4-diamine","C11 H12 N4 O","Full match","Full match","No results",-0.19,216.10107,217.10835,10.936,413443304.113636,3,87.4,9.4,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_43_a",413443304.113636,8.4
398,"6-(4-methoxyphenyl)pyrimidine-2,4-diamine_10.936","6-(4-methoxyphenyl)pyrimidine-2,4-diamine","C11 H12 N4 O","Full match","Full match","No results",-0.19,216.10107,217.10835,10.936,413443304.113636,3,87.4,9.4,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_43_b",243578231.088315,8.4
398,"6-(4-methoxyphenyl)pyrimidine-2,4-diamine_10.936","6-(4-methoxyphenyl)pyrimidine-2,4-diamine","C11 H12 N4 O","Full match","Full match","No results",-0.19,216.10107,217.10835,10.936,413443304.113636,3,87.4,9.4,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_55_a",271872711.396778,7.8
398,"6-(4-methoxyphenyl)pyrimidine-2,4-diamine_10.936","6-(4-methoxyphenyl)pyrimidine-2,4-diamine","C11 H12 N4 O","Full match","Full match","No results",-0.19,216.10107,217.10835,10.936,413443304.113636,3,87.4,9.4,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_55_b",261567391.981966,8.4
403,"Docosahexaenoic acid ethyl ester_20.271","Docosahexaenoic acid ethyl ester","C24 H36 O2","Full match","Full match","No results",-0.57,356.27133,357.2786,20.271,409257351.569964,2,88.9,81.6,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_25_c",22680983.5196715,7.8
403,"Docosahexaenoic acid ethyl ester_20.271","Docosahexaenoic acid ethyl ester","C24 H36 O2","Full match","Full match","No results",-0.57,356.27133,357.2786,20.271,409257351.569964,2,88.9,81.6,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_31_a",141193572.282463,9.5
403,"Docosahexaenoic acid ethyl ester_20.271","Docosahexaenoic acid ethyl ester","C24 H36 O2","Full match","Full match","No results",-0.57,356.27133,357.2786,20.271,409257351.569964,2,88.9,81.6,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_31_b",199859887.767062,8.4
403,"Docosahexaenoic acid ethyl ester_20.271","Docosahexaenoic acid ethyl ester","C24 H36 O2","Full match","Full match","No results",-0.57,356.27133,357.2786,20.271,409257351.569964,2,88.9,81.6,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_31_c",228964174.879261,8.4
403,"Docosahexaenoic acid ethyl ester_20.271","Docosahexaenoic acid ethyl ester","C24 H36 O2","Full match","Full match","No results",-0.57,356.27133,357.2786,20.271,409257351.569964,2,88.9,81.6,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_34_a",8236293.13204199,8.4
403,"Docosahexaenoic acid ethyl ester_20.271","Docosahexaenoic acid ethyl ester","C24 H36 O2","Full match","Full match","No results",-0.57,356.27133,357.2786,20.271,409257351.569964,2,88.9,81.6,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_34_b",6145202.46697144,7.5
